Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Александренко,Пріска,Миколаївна,Жінка,15.10.1964,Ветеринар,село Апостолове,"вулиця Кордонний, буд. 2, Привілля, 55451",+380 69 983-99-19,khrystynashevchenko@example.net
Дутка,Віра,Іванівна,Жінка,16.10.1960,Редактор,хутір Гребінка,"шосе Балтський 5-й, буд. 113, Скадовськ, 11894",+380 (52) 600-49-37,ichervonenko@example.net
Кабаненко,Юхим,Петрович,Чоловік,15.10.1965,Сантехнік,село Попасна,"вулиця Зоринська, буд. 575, Нікополь, 97485",088 032 29 37,iustyna87@example.com
Ніколюк,Богдан,Єгорович,Чоловік,14.10.1971,Машиніст,місто Приморськ (Україна),"шосе Марії Демченко 2-й, буд. 9 кв. 663, Корсунь-Шевченківський, 55839",057 969 70 69,shvaikaavrelii@example.org
Охримович,Георгій,Дмитрович,Чоловік,16.10.1962,Кушнір,місто Кам'янка (Черкаська область),"шосе Гаванна, буд. 0, Перещепине, 19499",096 181 39 49,kovpakmykhailo@example.net
Аронець,Ганна,Петрівна,Жінка,12.10.1977,Патологоанатом,село Ківерці,"площа Капітана Кузнецова, буд. 8 кв. 809, Слов'янськ, 67727",056 645-18-41,demian81@example.com
Шморгун,Богуслав,Андрійович,Чоловік,15.10.1964,Акушер,місто Кропивницький,"парк Єфімова, буд. 3 кв. 2, Кам'янка-Бузька, 20749",+380 (67) 646-55-33,oliinykanita@example.com
Супруненко,Олекса,Дмитрович,Чоловік,13.10.1974,Ріелтор,місто Лебедин,"узвіз Небесної Сотні, буд. 413 кв. 11, Костянтинівка, 73349",022 747-04-80,zvasylenko@example.net
Єрченко,Орина,Іванівна,Жінка,16.10.1960,Кінорежисер,місто Лубни,"парк Юннатів 2-й, буд. 61, Святогірськ, 93979",+380 55 794 60 28,gsmyk@example.org
Худобʼяк,Симон,Миколайович,Чоловік,17.10.1956,Редактор,місто Зоринськ,"проспект Розкидайлівська, буд. 926, Куп'янськ, 77253",153 16 90,danylo15@example.org
Влох,Панас,Андрійович,Чоловік,14.10.1970,Кушнір,селище Остер ,"вулиця Восьмого березня 7-й, буд. 68, Лубни, 03864",+380 64 420-80-04,vasylyna17@example.com
Рудик,Орина,Дмитрівна,Жінка,13.10.1974,Клавішник,хутір Ніжин,"площа Скляна, буд. 8 кв. 076, Добропілля, 60274",471 71 78,alevtyn34@example.org
Швайка,Ганна,Петрівна,Жінка,17.10.1957,Кушнір,село Надвірна,"шосе Прокатна, буд. 22, Світлодарськ, 96901",+380 48 284-04-39,qzabarnyi@example.net
Власюк,Ілля,Іванович,Чоловік,16.10.1962,Кінокритик,місто Устилуг,"вулиця Новосельского, буд. 00 кв. 00, Бучач, 05568",083 965-13-25,haidenkoprokhir@example.net
Лукаш,Лілія,Єгорівна,Жінка,14.10.1971,Живописець,місто Красноград,"проспект Новоукраїнський, буд. 87, Мирноград, 51616",+380 (33) 505-21-19,iaroslavpryimak@example.org
Єщенко,Данна,Петрівна,Жінка,15.10.1964,Етнограф,хутір Соледар,"шосе Ланжерон, буд. 819 кв. 932, П'ятихатки, 80661",002 044 24 35,nestaikoazar@example.com
Франчук,Максим,Іванович,Чоловік,17.10.1957,Мовознавець,село Вознесенівка,"площа Щоголєва, буд. 43 кв. 8, Молочанськ, 09183",+380 27 037-16-44,xteslia@example.org
Адаменко,Любов,Андріївна,Жінка,18.10.1953,Електрослюсар,місто Волноваха,"узвіз Варненська, буд. 74 кв. 4, Миронівка, 65853",044 759-44-84,mykhailo47@example.org
Шамрай,Марина,Дмитрівна,Жінка,15.10.1965,Палеонтолог,село Волочиськ,"узвіз Восьмого Березня Лінія 5-та, буд. 259 кв. 56, Турка, 39065",+380 (64) 273-34-67,sonishchuk@example.com
Ващук,Зиновій,Єгорович,Чоловік,16.10.1960,Фольклорист,село Міусинськ,"парк Локальна, буд. 7, Вашківці, 40675",079 341 71 28,ppetryk@example.com
Деревʼянко,Охрім,Сергійович,Чоловік,14.10.1970,Бібліограф,селище Герца,"набережна Високий, буд. 775, Скалат, 78682",+380 (09) 782-75-25,iereskohavrylo@example.com
Жук,Еріка,Михайлівна,Жінка,18.10.1953,Бізнесмен,місто Ужгород,"шосе Кустанайський 2-й, буд. 0 кв. 511, Сорокине, 51011",219 14 43,volodymyraandrusenko@example.com
Абрамчук,Мирон,Петрович,Чоловік,16.10.1963,Електрослюсар,село Молочанськ,"узвіз Восьмого березня 4-й, буд. 29, Виноградів, 56397",+380 (10) 138-26-78,makar88@example.org
Алексюк,Степан,Володимирович,Чоловік,17.10.1958,Промисловець,село Узин,"сквер 1-ша Лінія Марії Демченко, буд. 385 кв. 0, Берестечко, 31695",086 313-04-72,mchumachenko@example.net
Іщенко,Едуард,Андрійович,Чоловік,13.10.1972,Музичний редактор,місто Алупка,"парк Чернігівська, буд. 27, Генічеськ, 10200",+380 47 605-13-99,pelekhzorian@example.net
Шаблій,Маруся,Іванівна,Жінка,12.10.1977,Будник,місто Сімферополь,"сквер Водопровідний 1-й, буд. 2, Ізмаїл, 85880",+380 09 564-59-63,dubaszorian@example.org
Саченко,Галина,Михайлівна,Жінка,14.10.1969,Археолог,місто Оріхів,"парк Суднобудівний, буд. 1, Деражня, 35133",+380 29 002 98 06,ykhrystenko@example.org
Редько,Володимира,Дмитрівна,Жінка,13.10.1972,Футболіст,селище Чорнобиль,"площа Горіхова, буд. 2 кв. 15, Волноваха, 61326",030 57 72,rkovpak@example.net
Бабариченко,Христина,Іванівна,Жінка,13.10.1975,Біолог,хутір Щолкіне,"сквер Чорноморка, буд. 92, Турка, 24580",+380 25 159-61-61,ruslaniurchenko@example.com
Свириденко,Тетяна,Андріївна,Жінка,15.10.1966,Дипломат,селище Тростянець,"узвіз Садовського, буд. 777 кв. 744, Мукачево, 54459",788 42 01,andrii60@example.org
Пустовіт,Володимира,Сергіївна,Жінка,17.10.1957,Реставратор,місто Галич,"набережна Госпітальний, буд. 62 кв. 670, Нововолинськ, 43702",+380 10 223-01-17,snizhana28@example.net
Мірошниченко,Орест,Єгорович,Чоловік,17.10.1958,Медик,село Приморськ (Україна),"провулок Лінія 26-та, буд. 665, Калуш, 48081",+380 04 140 50 06,vadym01@example.com
Воблий,Ада,Михайлівна,Жінка,17.10.1957,Ґрунтознавець,місто Лисичанськ,"площа Садова 6-та, буд. 0 кв. 1, Українка , 56389",071 080-51-19,fatamaniuk@example.net
Жук,Єва,Олександрівна,Жінка,16.10.1960,Різноробочий,село Бережани,"парк Достоєвського, буд. 738 кв. 762, Тлумач, 51048",+380 39 163-67-33,erikazakharchenko@example.net
Жадан,Вʼячеслав,Миколайович,Чоловік,15.10.1964,Піаніст,селище Гребінка,"площа Ширяївський, буд. 209, Судак , 88517",325-90-79,davydandreiko@example.com
Василашко,Варвара,Сергіївна,Жінка,14.10.1969,Актор,хутір Бобринець,"вулиця Псковська, буд. 95 кв. 85, Балаклія, 26783",000 060-49-06,martyn59@example.com
Христенко,Спас,Петрович,Чоловік,17.10.1956,М'ясник,село Попасна,"узвіз Місячна, буд. 80 кв. 616, Першотравенськ, 09155",+380 57 608 93 43,haidaiklyment@example.com
Слюсар,Емілія,Володимирівна,Жінка,16.10.1960,Графік,селище Ірпінь,"узвіз Авангардна, буд. 745, Виноградів, 93531",020-07-25,ktokar@example.org
Захарченко,Болеслав,Єгорович,Чоловік,15.10.1966,Флорист,село Андрушівка,"узвіз Чорноморський 8-й, буд. 50 кв. 65, Хрестівка, 04429",+380 (64) 335-77-85,odarkaiermolenko@example.org
Конопленко,Франц,Сергійович,Чоловік,15.10.1965,Маркетолог,селище Ватутіне,"площа Коблевська, буд. 6, Перещепине, 19851",522 46 04,oleksa64@example.net
Рябовіл,Марʼяна,Петрівна,Жінка,15.10.1966,Палеонтолог,село Канів,"узвіз Оранжерейний, буд. 4 кв. 200, Червоносів, 32125",519 04 69,orkhyplavrenko@example.com
